q1,q2,q3,q4,q5,mis1,mis2,mis3,mis4,mis5,sample
8.043,6.309,7.500,6.794,9.972,0.030,0.061,0.010,0.039,0.039,mod
8.000,5.714,5.889,5.909,8.769,0.125,0.250,0.000,0.000,0.231,mod
6.813,5.898,7.634,9.147,4.384,0.279,0.061,0.024,0.023,0.200,mod
11.022,6.624,9.686,11.436,6.202,0.060,0.223,0.136,0.065,0.084,mod
9.802,10.906,8.747,8.043,6.309,0.011,0.031,0.040,0.030,0.061,mod
15.109,17.775,14.151,12.140,12.024,0.016,0.023,0.046,0.007,0.022,mod
8.523,14.138,12.985,7.642,10.184,0.016,0.006,0.007,0.058,0.014,mod
9.964,9.826,8.225,8.842,7.360,0.014,0.053,0.073,0.108,0.140,mod
10.523,11.573,11.295,13.137,11.774,0.094,0.121,0.188,0.121,0.026,mod
6.844,6.896,6.585,6.868,5.754,0.401,0.463,0.361,0.061,0.074,mod
13.944,8.748,7.454,8.077,10.756,0.030,0.040,0.057,0.123,0.030,mod
8.089,11.293,10.582,6.125,4.851,0.100,0.123,0.147,0.039,0.109,mod
7.866,8.311,9.931,13.185,7.881,0.050,0.067,0.026,0.038,0.322,mod
5.088,8.641,7.469,4.755,8.730,0.280,0.079,0.301,0.299,0.086,mod
9.143,10.672,12.065,20.327,16.726,0.126,0.009,0.049,0.025,0.014,mod
5.756,6.551,7.341,5.822,8.959,0.387,0.306,0.043,0.183,0.030,mod
6.638,6.702,5.531,5.394,6.448,0.265,0.051,0.417,0.172,0.086,mod
4.355,4.189,5.067,4.278,5.980,0.042,0.160,0.081,0.179,0.198,mod
7.018,7.094,11.029,13.965,10.094,0.136,0.381,0.106,0.047,0.405,mod
6.057,7.633,7.422,8.591,11.247,0.110,0.025,0.031,0.212,0.027,mod
8.325,11.261,6.745,6.459,8.882,0.008,0.006,0.004,0.093,0.057,mod
6.201,7.315,6.084,8.846,12.634,0.098,0.135,0.042,0.204,0.020,mod
6.600,8.424,7.633,5.468,4.795,0.084,0.200,0.256,0.265,0.163,mod
5.932,7.976,8.720,6.600,8.424,0.060,0.042,0.069,0.084,0.200,mod
5.147,7.501,7.090,10.051,9.424,0.108,0.096,0.424,0.111,0.021,mod
7.378,6.962,6.199,7.605,7.339,0.285,0.096,0.114,0.047,0.092,mod
7.387,7.792,8.485,7.780,6.016,0.309,0.366,0.215,0.251,0.109,mod
10.109,10.209,8.650,9.682,12.142,0.053,0.045,0.065,0.038,0.077,mod
11.667,11.975,15.411,12.454,10.343,0.063,0.090,0.062,0.125,0.137,mod
5.494,6.022,4.897,5.204,6.454,0.138,0.133,0.249,0.255,0.241,mod
10.906,8.747,8.043,6.309,7.500,0.031,0.040,0.030,0.061,0.010,mod
7.703,7.733,8.749,7.840,8.631,0.045,0.358,0.034,0.408,0.025,mod
5.767,5.336,5.461,5.953,5.593,0.229,0.077,0.108,0.239,0.144,mod
9.264,7.613,7.527,12.338,12.893,0.000,0.435,0.077,0.067,0.032,mod
7.991,8.928,10.232,8.432,8.082,0.108,0.026,0.055,0.381,0.233,mod
12.126,7.085,7.208,7.500,7.290,0.009,0.007,0.108,0.058,0.048,mod
5.584,7.673,7.667,6.784,7.060,0.077,0.082,0.091,0.330,0.119,mod
7.030,9.057,12.929,12.176,7.501,0.266,0.212,0.062,0.092,0.122,mod
11.318,7.007,8.413,9.082,10.296,0.035,0.139,0.497,0.031,0.064,mod
7.081,9.568,10.406,10.417,8.063,0.176,0.471,0.211,0.025,0.517,mod
8.879,10.112,17.657,13.702,8.523,0.038,0.098,0.016,0.024,0.016,mod
7.587,7.740,7.694,8.561,8.063,0.187,0.077,0.007,0.012,0.020,mod
5.649,6.084,5.454,4.619,5.573,0.058,0.024,0.041,0.146,0.024,mod
10.172,9.121,8.911,13.633,11.682,0.034,0.029,0.240,0.005,0.066,mod
6.861,6.820,8.421,6.102,6.983,0.088,0.040,0.058,0.087,0.058,mod
9.402,11.105,11.750,9.883,9.998,0.119,0.015,0.030,0.246,0.030,mod
7.105,8.283,4.929,5.492,5.671,0.041,0.039,0.186,0.259,0.134,mod
7.121,7.128,5.979,7.312,7.275,0.260,0.206,0.389,0.158,0.125,mod
9.732,9.846,8.975,7.235,6.561,0.046,0.038,0.065,0.401,0.158,mod
10.101,7.871,8.519,7.235,6.940,0.050,0.124,0.185,0.189,0.179,mod
6.879,7.964,11.615,8.032,7.461,0.062,0.079,0.004,0.020,0.004,mod
10.578,12.110,14.339,10.102,8.572,0.286,0.596,0.656,0.025,0.017,mod
10.407,8.893,10.894,8.902,9.477,0.021,0.202,0.015,0.069,0.031,mod
4.734,5.699,6.404,6.729,5.966,0.155,0.028,0.192,0.261,0.549,mod
10.646,9.842,5.786,7.931,8.134,0.108,0.132,0.137,0.290,0.352,mod
11.388,6.574,6.409,6.326,6.294,0.153,0.104,0.141,0.068,0.368,mod
9.053,10.873,9.170,4.734,5.699,0.188,0.039,0.115,0.155,0.028,mod
12.184,10.369,10.920,20.026,16.920,0.007,0.016,0.090,0.008,0.007,mod
7.010,7.065,6.363,5.849,7.137,0.125,0.374,0.251,0.053,0.161,mod
4.243,4.372,5.628,6.664,7.169,0.064,0.029,0.209,0.044,0.037,mod
16.808,24.111,21.215,11.496,7.802,0.074,0.010,0.013,0.199,0.237,mod
7.028,12.115,17.345,11.769,10.793,0.315,0.012,0.005,0.223,0.099,mod
6.615,7.940,7.693,6.960,6.815,0.095,0.068,0.051,0.198,0.310,mod
6.318,7.239,6.824,8.935,12.372,0.291,0.168,0.224,0.023,0.020,mod
8.073,7.191,6.541,5.630,6.204,0.054,0.292,0.179,0.069,0.036,mod
7.105,9.799,10.403,11.026,11.274,0.112,0.015,0.038,0.689,0.173,mod
7.481,5.977,7.081,9.568,10.406,0.061,0.088,0.176,0.471,0.211,mod
7.157,7.752,9.556,11.403,8.197,0.239,0.019,0.045,0.134,0.061,mod
6.024,5.814,8.056,9.334,5.523,0.249,0.164,0.051,0.102,0.102,mod
9.066,9.775,9.613,10.041,7.234,0.042,0.059,0.073,0.074,0.192,mod
8.829,9.003,8.044,5.873,6.813,0.011,0.088,0.034,0.262,0.279,mod
6.173,6.552,9.127,11.051,7.576,0.137,0.060,0.127,0.032,0.065,mod
11.248,15.470,15.069,17.351,15.245,0.014,0.015,0.076,0.034,0.011,mod
6.361,6.144,7.351,8.110,12.721,0.109,0.111,0.025,0.261,0.117,mod
6.227,6.871,9.114,12.452,10.170,0.180,0.458,0.181,0.089,0.067,mod
5.670,6.033,5.328,7.191,5.635,0.131,0.024,0.023,0.005,0.036,mod
5.564,9.365,7.667,6.180,8.468,0.474,0.016,0.219,0.179,0.060,mod
10.560,7.489,8.755,12.746,11.234,0.184,0.424,0.262,0.067,0.112,mod
7.271,6.869,7.743,11.490,8.245,0.043,0.221,0.519,0.033,0.121,mod
12.302,12.173,9.519,11.939,10.479,0.056,0.019,0.183,0.028,0.028,mod
7.947,6.061,7.143,6.465,9.485,0.014,0.202,0.012,0.050,0.098,mod
12.951,12.704,10.601,18.428,14.812,0.156,0.063,0.079,0.017,0.014,mod
7.356,9.152,9.600,12.405,17.575,0.107,0.149,0.293,0.070,0.047,mod
12.024,11.646,5.648,7.421,6.443,0.031,0.058,0.132,0.136,0.433,mod
8.137,8.375,7.121,7.128,5.979,0.165,0.154,0.260,0.206,0.389,mod
13.400,6.200,8.200,9.800,11.200,0.000,0.000,0.000,0.000,0.000,mod
7.178,6.906,6.082,6.446,9.915,0.333,0.382,0.361,0.286,0.065,mod
7.629,11.015,13.864,14.189,14.313,0.008,0.000,0.000,0.000,0.030,mod
7.964,11.615,8.032,7.461,9.870,0.079,0.004,0.020,0.004,0.000,mod
6.728,6.056,8.218,9.833,10.777,0.128,0.232,0.141,0.081,0.042,mod
9.176,11.447,11.737,13.466,12.662,0.135,0.058,0.068,0.076,0.032,mod
8.303,9.870,11.198,7.102,9.827,0.345,0.105,0.362,0.245,0.208,mod
7.312,7.745,6.800,7.819,6.638,0.010,0.018,0.060,0.090,0.005,mod
15.364,16.947,12.172,5.887,6.610,0.021,0.036,0.220,0.342,0.243,mod
7.660,7.793,8.836,12.000,15.526,0.295,0.172,0.318,0.116,0.045,mod
8.044,5.873,6.813,5.898,7.634,0.034,0.262,0.279,0.061,0.024,mod
4.351,5.653,6.064,6.020,6.006,0.139,0.025,0.051,0.150,0.173,mod
7.806,7.173,11.578,12.086,7.884,0.424,0.247,0.025,0.017,0.116,mod
9.775,15.109,17.775,14.151,12.140,0.116,0.016,0.023,0.046,0.007,mod
6.879,9.194,11.429,16.875,14.054,0.198,0.171,0.088,0.028,0.060,mod
5.178,7.235,7.978,5.938,8.107,0.403,0.053,0.389,0.101,0.019,mod
7.067,7.027,7.384,6.883,6.688,0.156,0.077,0.413,0.047,0.100,mod
9.258,10.229,8.458,9.824,6.357,0.034,0.022,0.137,0.016,0.248,mod
7.061,8.150,11.625,14.455,12.168,0.347,0.243,0.193,0.119,0.037,mod
11.042,7.598,6.916,5.050,5.354,0.053,0.088,0.042,0.080,0.100,mod
4.529,7.289,8.562,6.839,9.831,0.159,0.064,0.069,0.129,0.078,mod
6.841,6.589,7.391,4.400,7.029,0.233,0.222,0.028,0.373,0.010,mod
7.108,8.689,11.438,7.684,7.430,0.255,0.399,0.047,0.265,0.219,mod
5.496,5.475,8.109,8.229,8.492,0.183,0.092,0.159,0.142,0.198,mod
5.068,5.834,8.576,11.427,6.140,0.118,0.009,0.036,0.005,0.022,mod
6.020,6.428,5.468,7.655,11.477,0.519,0.616,0.094,0.008,0.017,mod
5.370,6.110,5.622,5.353,4.742,0.082,0.037,0.044,0.050,0.280,mod
6.707,5.702,7.325,10.651,11.005,0.375,0.146,0.459,0.101,0.136,mod
5.960,7.936,8.155,13.040,9.533,0.152,0.007,0.079,0.032,0.009,mod
6.091,6.322,8.360,6.409,10.476,0.055,0.064,0.009,0.228,0.030,mod
4.750,5.339,6.306,8.722,11.857,0.016,0.031,0.047,0.055,0.094,mod
7.087,9.189,9.475,8.580,8.003,0.292,0.225,0.074,0.018,0.331,mod
9.899,7.030,8.693,13.297,12.649,0.604,0.149,0.134,0.014,0.035,mod
5.783,5.178,5.767,5.336,5.461,0.172,0.183,0.229,0.077,0.108,mod
8.110,12.721,18.254,15.639,9.646,0.261,0.117,0.023,0.090,0.536,mod
8.171,10.272,11.174,7.711,9.112,0.096,0.085,0.093,0.314,0.044,mod
6.633,7.117,7.331,7.504,9.287,0.071,0.040,0.039,0.041,0.033,mod
9.719,9.576,9.215,9.230,10.624,0.112,0.200,0.011,0.019,0.024,mod
8.975,7.235,6.561,8.425,7.402,0.065,0.401,0.158,0.008,0.120,mod
6.565,7.905,9.306,6.468,4.911,0.041,0.105,0.107,0.106,0.168,mod
9.517,7.336,7.745,5.552,6.483,0.016,0.074,0.031,0.104,0.509,mod
6.063,4.076,5.098,5.684,5.704,0.130,0.068,0.152,0.172,0.116,mod
5.263,6.166,7.946,7.041,7.866,0.191,0.069,0.032,0.038,0.262,mod
8.862,11.816,13.675,12.517,13.647,0.095,0.056,0.012,0.106,0.048,mod
6.050,5.693,6.050,6.367,5.883,0.167,0.323,0.388,0.411,0.347,mod
7.848,9.595,7.969,8.200,6.130,0.307,0.060,0.270,0.171,0.088,mod
6.648,5.237,7.197,6.125,8.269,0.027,0.181,0.191,0.135,0.067,mod
7.521,9.572,11.312,15.202,18.785,0.045,0.070,0.051,0.028,0.032,mod
6.065,7.318,7.722,8.039,10.258,0.034,0.225,0.449,0.189,0.350,mod
10.929,7.159,6.250,7.429,8.548,0.053,0.230,0.177,0.173,0.241,mod
6.261,7.385,6.203,5.798,5.471,0.293,0.053,0.380,0.231,0.192,mod
7.928,6.805,5.919,5.463,5.833,0.103,0.182,0.081,0.073,0.302,mod
7.468,7.858,6.752,5.786,6.406,0.172,0.119,0.215,0.243,0.279,mod
11.663,8.911,10.978,12.254,10.707,0.024,0.497,0.032,0.033,0.164,mod
9.740,6.832,9.609,8.623,5.318,0.142,0.242,0.088,0.116,0.179,mod
6.718,8.102,6.806,6.475,6.017,0.064,0.076,0.257,0.083,0.112,mod
6.495,7.589,5.573,6.080,6.114,0.071,0.040,0.144,0.196,0.037,mod
9.772,8.463,8.227,10.500,9.616,0.064,0.099,0.133,0.114,0.074,mod
6.595,6.846,9.604,10.745,9.214,0.133,0.153,0.089,0.064,0.187,mod
7.977,9.716,10.229,6.171,11.276,0.161,0.134,0.098,0.179,0.141,mod
6.290,5.761,6.146,9.213,8.260,0.010,0.057,0.252,0.022,0.027,mod
6.671,6.871,8.670,12.876,9.153,0.118,0.034,0.587,0.004,0.023,mod
10.121,11.738,10.982,11.246,8.766,0.003,0.003,0.016,0.029,0.486,mod
6.887,6.602,5.534,5.190,7.848,0.079,0.132,0.137,0.069,0.068,mod
9.888,3.883,8.043,5.226,7.178,0.056,0.043,0.102,0.071,0.084,mod
10.263,8.746,10.538,9.275,18.189,0.065,0.101,0.015,0.183,0.024,mod
8.209,7.670,6.928,7.952,9.158,0.004,0.225,0.105,0.064,0.044,mod
10.395,10.230,6.177,6.423,7.549,0.053,0.020,0.200,0.563,0.234,mod
18.832,15.951,9.639,10.249,11.097,0.010,0.010,0.009,0.009,0.157,mod
5.179,6.973,4.879,6.924,8.729,0.298,0.064,0.053,0.046,0.025,mod
5.826,5.352,5.320,6.293,6.843,0.404,0.471,0.294,0.117,0.098,mod
9.533,7.387,6.535,9.121,11.050,0.059,0.041,0.168,0.066,0.100,mod
7.432,6.729,7.720,8.042,7.222,0.016,0.033,0.016,0.007,0.047,mod
11.024,11.284,15.882,16.425,16.564,0.017,0.104,0.010,0.023,0.019,mod
6.401,7.928,6.805,5.919,5.463,0.098,0.103,0.182,0.081,0.073,mod
10.977,10.178,9.037,7.973,10.476,0.159,0.158,0.060,0.175,0.024,mod
10.532,10.076,7.122,6.030,7.885,0.151,0.029,0.059,0.163,0.074,mod
5.957,6.201,6.162,7.319,6.107,0.069,0.030,0.090,0.001,0.108,mod
8.052,10.533,10.987,6.723,6.292,0.372,0.012,0.015,0.191,0.357,mod
4.530,6.267,6.061,6.001,9.154,0.083,0.108,0.048,0.076,0.031,mod
9.690,9.072,10.459,11.002,9.845,0.071,0.358,0.054,0.019,0.054,mod
4.826,6.845,5.583,10.831,17.330,0.167,0.052,0.098,0.002,0.002,mod
11.471,9.354,7.066,9.188,14.475,0.393,0.242,0.049,0.031,0.021,mod
6.240,8.361,9.875,9.102,8.728,0.060,0.088,0.035,0.038,0.073,mod
9.839,9.448,6.824,6.742,6.273,0.050,0.022,0.036,0.097,0.119,mod
8.416,7.477,9.624,8.516,9.688,0.053,0.015,0.027,0.081,0.050,mod
9.800,11.200,13.800,6.000,7.200,0.000,0.000,0.000,0.000,0.400,mod
5.651,5.874,5.845,7.583,12.937,0.131,0.420,0.151,0.144,0.091,mod
7.741,7.953,6.310,7.961,7.375,0.080,0.236,0.036,0.036,0.079,mod
5.861,5.715,6.425,5.352,9.247,0.163,0.163,0.040,0.247,0.112,mod
12.149,7.932,9.038,12.328,9.546,0.015,0.229,0.164,0.086,0.247,mod
7.351,7.765,7.706,10.136,11.099,0.134,0.099,0.098,0.060,0.061,mod
8.645,9.451,8.864,10.302,8.593,0.128,0.075,0.266,0.065,0.183,mod
6.200,7.591,8.672,7.502,7.113,0.296,0.069,0.140,0.107,0.123,mod
6.452,8.194,9.106,13.424,10.847,0.037,0.012,0.099,0.022,0.060,mod
9.414,8.036,7.025,8.984,7.819,0.041,0.291,0.219,0.063,0.063,mod
9.002,7.950,9.694,8.539,8.656,0.078,0.260,0.041,0.036,0.130,mod
7.841,7.605,6.547,7.341,7.697,0.185,0.247,0.156,0.014,0.285,mod
5.496,5.864,6.974,5.657,8.877,0.511,0.317,0.028,0.019,0.011,mod
6.997,5.152,5.220,5.093,7.814,0.205,0.255,0.248,0.136,0.602,mod
8.674,6.607,8.012,9.817,11.941,0.015,0.312,0.043,0.128,0.102,mod
7.666,8.888,6.339,8.053,8.578,0.079,0.010,0.160,0.404,0.206,mod
8.321,8.218,6.533,6.139,7.158,0.010,0.045,0.076,0.341,0.080,mod
9.030,9.755,8.956,5.861,9.436,0.140,0.033,0.123,0.259,0.110,mod
8.409,9.211,8.393,12.209,13.539,0.368,0.049,0.225,0.105,0.107,mod
7.863,9.938,11.292,6.721,8.418,0.026,0.111,0.011,0.059,0.307,mod
7.657,9.647,10.156,6.513,8.238,0.179,0.079,0.070,0.029,0.008,mod
6.269,7.304,7.549,6.664,5.532,0.071,0.142,0.301,0.104,0.336,mod
12.470,10.295,8.907,6.050,5.583,0.088,0.261,0.140,0.371,0.193,mod
6.766,8.376,9.364,9.715,10.153,0.112,0.188,0.110,0.147,0.083,mod
7.946,7.041,7.866,7.010,7.065,0.032,0.038,0.262,0.125,0.374,mod
5.497,5.587,8.696,10.192,7.016,0.496,0.082,0.009,0.053,0.576,mod
7.534,8.332,7.046,5.231,4.279,0.155,0.027,0.052,0.150,0.232,mod
9.631,9.614,6.180,7.603,9.186,0.246,0.034,0.028,0.512,0.034,mod
8.818,9.933,9.618,7.481,5.977,0.217,0.355,0.054,0.061,0.088,mod
11.369,8.708,4.739,6.787,5.816,0.088,0.095,0.393,0.107,0.160,mod
8.768,11.020,7.735,7.311,7.649,0.198,0.028,0.107,0.043,0.071,mod
7.634,6.821,7.520,8.924,10.773,0.087,0.144,0.027,0.082,0.016,mod
10.706,11.085,10.559,9.362,10.161,0.040,0.039,0.062,0.157,0.089,mod
12.419,11.672,7.432,8.123,6.581,0.081,0.025,0.079,0.184,0.276,mod
8.239,6.269,7.400,6.125,7.579,0.043,0.000,0.520,0.000,0.000,mod
6.470,5.989,8.629,9.233,15.197,0.125,0.105,0.106,0.135,0.047,mod
7.490,7.790,6.056,6.680,6.726,0.127,0.029,0.144,0.229,0.061,mod
7.639,5.563,6.140,8.570,12.044,0.030,0.054,0.040,0.084,0.052,mod
6.927,6.511,5.760,4.351,5.653,0.043,0.032,0.101,0.139,0.025,mod
6.120,7.353,7.146,4.985,6.147,0.254,0.115,0.219,0.265,0.366,mod
10.692,10.640,13.509,10.132,8.368,0.160,0.125,0.026,0.153,0.126,mod
7.326,8.141,8.291,11.771,8.611,0.151,0.015,0.413,0.026,0.295,mod
14.796,7.351,5.887,7.170,7.553,0.064,0.050,0.354,0.068,0.174,mod
5.980,6.601,5.468,5.521,6.961,0.198,0.103,0.112,0.423,0.205,mod
10.462,7.893,9.015,7.047,7.932,0.048,0.165,0.069,0.184,0.461,mod
4.724,4.399,5.219,8.330,7.260,0.137,0.069,0.086,0.016,0.137,mod
6.771,12.565,11.957,7.296,10.229,0.196,0.034,0.021,0.153,0.018,mod
7.998,13.056,11.441,16.847,12.927,0.016,0.006,0.008,0.081,0.017,mod
5.255,5.957,5.732,6.518,5.323,0.056,0.045,0.117,0.063,0.077,mod
5.527,7.493,6.023,7.170,7.793,0.113,0.077,0.024,0.116,0.175,mod
5.661,5.870,6.017,6.017,7.376,0.283,0.389,0.430,0.453,0.093,mod
8.558,5.503,5.310,6.424,7.945,0.005,0.099,0.125,0.127,0.045,mod
15.996,13.377,10.147,12.454,12.900,0.067,0.119,0.131,0.133,0.222,mod
7.098,6.198,7.815,7.292,5.800,0.020,0.146,0.100,0.075,0.214,mod
16.640,14.677,12.184,10.369,10.920,0.037,0.002,0.007,0.016,0.090,mod
6.962,5.939,6.135,6.081,6.621,0.038,0.137,0.134,0.070,0.122,mod
7.645,10.849,8.425,9.181,11.516,0.633,0.029,0.452,0.120,0.074,mod
11.435,7.654,9.776,10.176,6.197,0.010,0.181,0.025,0.100,0.025,mod
7.763,8.950,8.637,9.254,7.816,0.202,0.090,0.572,0.080,0.100,mod
8.515,7.023,5.512,6.033,5.943,0.041,0.409,0.299,0.192,0.341,mod
12.277,10.857,9.394,11.851,13.002,0.004,0.023,0.273,0.027,0.080,mod
11.878,8.386,7.573,6.405,6.225,0.028,0.205,0.148,0.215,0.081,mod
10.778,7.929,12.390,15.500,12.277,0.022,0.069,0.020,0.065,0.095,mod
7.228,7.326,5.741,7.104,6.422,0.291,0.079,0.259,0.095,0.454,mod
8.130,7.817,9.529,10.595,8.665,0.142,0.168,0.048,0.015,0.007,mod
8.798,8.756,10.852,14.209,9.419,0.040,0.325,0.077,0.051,0.071,mod
10.122,9.767,8.624,7.727,7.521,0.054,0.054,0.074,0.140,0.120,mod
4.803,5.275,5.785,7.617,9.240,0.047,0.097,0.185,0.121,0.067,mod
12.117,10.432,15.785,14.140,9.949,0.016,0.235,0.061,0.004,0.165,mod
10.443,9.387,12.383,8.727,12.342,0.826,0.512,0.020,0.055,0.017,mod
7.319,6.107,7.085,5.301,6.648,0.001,0.108,0.006,0.018,0.027,mod
5.738,5.019,4.666,4.872,5.362,0.236,0.158,0.038,0.135,0.058,mod
14.568,7.586,10.152,12.060,7.083,0.003,0.010,0.002,0.004,0.036,mod
6.660,8.673,9.934,9.790,10.245,0.268,0.047,0.013,0.034,0.219,mod
4.981,5.934,5.522,6.860,8.512,0.114,0.040,0.219,0.193,0.037,mod
7.837,10.095,10.906,7.576,7.582,0.146,0.079,0.053,0.065,0.139,mod
9.208,7.892,6.929,8.698,6.955,0.086,0.007,0.258,0.060,0.067,mod
8.570,11.072,16.083,9.838,9.034,0.038,0.029,0.020,0.031,0.061,mod
7.682,7.002,10.247,8.405,6.979,0.031,0.464,0.027,0.196,0.119,mod
5.644,5.553,5.793,6.615,7.940,0.217,0.072,0.320,0.095,0.068,mod
7.341,5.822,8.959,9.179,12.017,0.043,0.183,0.030,0.328,0.008,mod
7.607,8.362,5.416,8.524,8.281,0.051,0.022,0.072,0.162,0.177,mod
7.304,6.467,5.803,8.845,9.843,0.081,0.156,0.272,0.037,0.067,mod
7.484,5.869,5.738,5.019,4.666,0.070,0.045,0.236,0.158,0.038,mod
5.109,5.008,5.388,6.788,7.708,0.245,0.239,0.234,0.110,0.315,mod
9.912,8.910,6.803,7.742,8.226,0.035,0.013,0.165,0.182,0.188,mod
11.367,14.352,12.627,6.313,6.549,0.048,0.059,0.025,0.114,0.164,mod
7.381,10.097,5.741,6.813,8.220,0.092,0.070,0.287,0.378,0.563,mod
