q1,q2,q3,q4,q5,mis1,mis2,mis3,mis4,mis5,sample,prediction,dist,ProbM,ProbU
10.283,13.165999999999999,9.732000000000001,9.318999999999999,10.21,0.332,0.086,0.121,0.018000000000000002,0.031,mod,mod,-0.09217410213731991,0.5168369276465218,0.4831630723534782
7.894,7.024,7.115,7.497999999999999,6.779,0.19399999999999998,0.302,0.183,0.142,0.033,mod,mod,-0.9475849128847491,0.7069172811359167,0.2930827188640835
10.221,8.613,10.252,8.497,6.117999999999999,0.01,0.317,0.024,0.076,0.08,mod,unm,0.07779672305919494,0.4764686782051514,0.5235313217948486
13.087,8.818999999999999,9.942,14.312999999999999,13.14,0.043,0.045,0.115,0.059000000000000004,0.21600000000000003,mod,mod,-0.023532033907101457,0.5,0.5
7.856,9.144,6.263999999999999,7.824,7.099,0.08900000000000001,0.028999999999999998,0.318,0.272,0.047,mod,mod,-1.2257486916450935,0.7585704237490962,0.24142957625090378
11.392999999999999,10.193999999999999,5.6979999999999995,5.2410000000000005,9.536,0.10099999999999999,0.077,0.023,0.134,0.02,mod,mod,-1.4107553854749986,0.7892996773944914,0.2107003226055086
11.577,7.9670000000000005,9.515,10.337,8.491,0.08800000000000001,0.28,0.034,0.037000000000000005,0.07400000000000001,mod,mod,-0.16310422291128557,0.5336385930381893,0.4663614069618107
7.082000000000001,6.428999999999999,6.507000000000001,9.027000000000001,10.622,0.06,0.6729999999999999,0.56,0.504,0.152,mod,mod,-1.1463200208406752,0.744475129268033,0.2555248707319668
11.585,6.8,8.283999999999999,7.053,7.1,0.075,0.087,0.075,0.20199999999999999,0.35200000000000004,mod,mod,-0.5654774478734046,0.6251844350606344,0.3748155649393656
11.322000000000001,15.716,10.991,7.271,8.457,0.052000000000000005,0.015,0.073,0.129,0.136,mod,unm,0.31935139471414775,0.4193863471281928,0.5806136528718072
4.242,7.4910000000000005,8.46,5.388999999999999,10.366,0.294,0.151,0.040999999999999995,0.688,0.7829999999999999,mod,mod,-0.5079488625916033,0.6127082274481548,0.3872917725518451
6.845,9.777000000000001,10.717,7.864,7.265,0.115,0.054000000000000006,0.021,0.268,0.166,mod,unm,0.22978984983427697,0.4405090376274153,0.5594909623725846
7.544,8.596,7.86,11.812999999999999,12.502,0.085,0.008,0.10800000000000001,0.03,0.025,mod,mod,-0.7040690323984071,0.6541514805225901,0.34584851947740985
8.205,8.971,7.2989999999999995,9.896,9.985,0.406,0.14300000000000002,0.314,0.06,0.114,mod,mod,-0.8874413953929539,0.6949345506942538,0.3050654493057459
7.861000000000001,8.941,8.992,9.201,7.582000000000001,0.182,0.273,0.469,0.38299999999999995,0.076,mod,mod,-0.33405564323459114,0.5735867317369604,0.4264132682630393
9.593,8.312999999999999,9.689,11.585,6.8,0.284,0.284,0.039,0.075,0.087,mod,mod,-0.10622937262699761,0.5201716390813146,0.4798283609186855
9.017000000000001,10.735,8.724,9.362,7.643,0.18,0.006,0.08800000000000001,0.028999999999999998,0.061,mod,mod,-0.4216559866019898,0.5935375490053998,0.4064624509946001
7.412000000000001,6.835,6.981,8.257,5.848,0.057,0.114,0.07200000000000001,0.069,0.314,mod,mod,-0.9913850824689368,0.7154680860190431,0.2845319139809566
9.738999999999999,9.656,10.970999999999998,10.09,9.925,0.040999999999999995,0.12,0.026000000000000002,0.244,0.556,mod,unm,0.3128140627833327,0.4209277484940615,0.5790722515059384
9.443,7.862,7.151,6.685,6.572,0.063,0.231,0.14800000000000002,0.46399999999999997,0.158,mod,mod,-0.9358177039685946,0.7045945769138552,0.2954054230861448
8.715,8.467,12.29,8.756,8.771,0.011000000000000001,0.38299999999999995,0.02,0.27,0.23800000000000002,mod,unm,0.7439515712071065,0.3257706407756271,0.674229359224373
10.442,11.702,8.646,7.1770000000000005,5.0,0.20199999999999999,0.042,0.11,0.44299999999999995,0.065,mod,mod,-0.4471516087314731,0.5992553807882244,0.4007446192117757
7.388999999999999,7.835,7.377000000000001,7.869,7.359,0.13699999999999998,0.057,0.094,0.125,0.435,mod,mod,-0.8619457729918016,0.6897727915329336,0.3102272084670664
8.266,6.497000000000001,5.022,6.246,6.271,0.07,0.024,0.17300000000000001,0.207,0.18600000000000003,mod,mod,-1.6317174487109858,0.8221140854256294,0.17788591457437072
11.296,12.998,15.854000000000001,9.902999999999999,8.79,0.051,0.044000000000000004,0.035,0.32799999999999996,0.21,mod,unm,1.9089053970637346,0.13754508273302438,0.8624549172669755
7.496,6.091,7.756,8.022,7.3420000000000005,0.18100000000000002,0.258,0.129,0.19399999999999998,0.045,mod,mod,-0.738063196585542,0.6610152831620938,0.33898471683790626
8.384,6.905,7.83,7.153,9.772,0.012,0.057999999999999996,0.013000000000000001,0.078,0.035,mod,mod,-0.7138750408855961,0.6561411924805061,0.343858807519494
8.746,6.827999999999999,7.982,9.696,11.455,0.07400000000000001,0.28600000000000003,0.08199999999999999,0.09300000000000001,0.099,mod,mod,-0.6641912633400002,0.6459781617363368,0.3540218382636631
7.327000000000001,5.957999999999999,8.543,9.854,4.768,0.21,0.057999999999999996,0.013999999999999999,0.016,0.20600000000000002,mod,mod,-0.4808189048262639,0.6067378132735699,0.39326218672643015
12.342,7.501,10.604000000000001,12.210999999999999,6.273,0.038,0.16899999999999998,0.127,0.042,0.079,mod,unm,0.19285388967861739,0.44923070244457003,0.5507692975554301
9.818999999999999,10.32,8.522,8.384,6.905,0.033,0.027999999999999997,0.073,0.012,0.057999999999999996,mod,mod,-0.48768310769436507,0.6082534870785661,0.3917465129214339
16.319000000000003,19.087,14.645999999999999,12.312999999999999,12.177999999999999,0.012,0.018000000000000002,0.051,0.008,0.023,mod,unm,1.5140501193093607,0.18851461378097895,0.8114853862190213
9.073,14.754000000000001,13.338,8.009,10.485999999999999,0.016,0.006,0.011000000000000001,0.077,0.015,mod,unm,1.086508141519631,0.258650003699577,0.7413499963004231
10.297,9.919,8.571,9.376,7.925,0.013000000000000001,0.087,0.092,0.11900000000000001,0.12300000000000001,mod,mod,-0.47166663311482093,0.6047116464340854,0.39528835356591474
11.434000000000001,12.772,12.027999999999999,13.525,12.039000000000001,0.09699999999999999,0.086,0.196,0.12,0.03,mod,unm,0.6583124348268266,0.34389709997928875,0.6561029000207111
7.827999999999999,7.186,6.577999999999999,6.862,6.135,0.39799999999999996,0.42200000000000004,0.40299999999999997,0.105,0.095,mod,mod,-1.1231124668126133,0.7402561967562609,0.25974380324373925
8.931000000000001,12.927999999999999,11.520999999999999,6.598,5.115,0.07,0.11,0.127,0.032,0.102,mod,unm,0.4925908831882291,0.3784240552284452,0.6215759447715548
8.013,8.592,9.881,12.887,8.077,0.05,0.047,0.025,0.043,0.35200000000000004,mod,mod,-0.04347091907742051,0.5052704048837416,0.49472959511625847
5.098,8.716000000000001,7.877000000000001,5.026,9.103,0.292,0.085,0.327,0.314,0.07,mod,mod,-0.6985122947706222,0.6530204541130861,0.346979545886914
9.53,11.149000000000001,12.470999999999998,21.143,18.266,0.134,0.017,0.052000000000000005,0.018000000000000002,0.015,mod,unm,0.8031144898308762,0.3135418554047911,0.6864581445952088
6.382999999999999,7.063,7.875,6.25,9.382,0.364,0.308,0.038,0.171,0.02,mod,mod,-0.6991660281159389,0.6531536482921292,0.3468463517078708
6.892,6.421,5.531000000000001,5.428999999999999,6.582999999999999,0.251,0.042,0.39299999999999996,0.203,0.11,mod,mod,-1.465342167038087,0.7977990408125127,0.20220095918748732
4.533,4.459,5.2989999999999995,4.39,7.2860000000000005,0.051,0.147,0.114,0.147,0.128,mod,mod,-1.5411753008484927,0.8091775777978251,0.19082242220217488
6.8389999999999995,7.018,11.620999999999999,14.743,10.43,0.171,0.365,0.096,0.036000000000000004,0.331,mod,unm,0.5252775803330687,0.370643962738804,0.6293560372611957
6.7170000000000005,8.283999999999999,7.917999999999999,8.851,11.448,0.084,0.025,0.021,0.21,0.023,mod,mod,-0.6851107491772828,0.6502821899056308,0.3497178100943691
8.814,11.735,7.1129999999999995,6.787000000000001,8.999,0.008,0.004,0.008,0.09,0.049,mod,mod,-0.948238646730089,0.7070460064050572,0.2929539935949429
6.57,7.74,6.224,9.961,13.866,0.08199999999999999,0.127,0.061,0.166,0.016,mod,mod,-1.238823368574912,0.7608391237435712,0.2391608762564288
7.272,9.522,7.847,6.171,5.271,0.09300000000000001,0.141,0.217,0.23399999999999999,0.13,mod,mod,-0.7083183015105581,0.6550146628812037,0.3449853371187963
6.257999999999999,8.111,9.004,7.272,9.522,0.057999999999999996,0.033,0.078,0.09300000000000001,0.141,mod,mod,-0.33013323885710033,0.572683440847634,0.4273165591523659
5.21,7.989,7.295,10.875,9.931000000000001,0.134,0.083,0.429,0.111,0.02,mod,mod,-0.888748860643445,0.6951979543860842,0.3048020456139155
7.263,7.093999999999999,6.1339999999999995,7.767,7.43,0.256,0.096,0.10300000000000001,0.049,0.091,mod,mod,-1.268241394983149,0.7658900481321836,0.23410995186781627
7.535,8.097000000000001,8.809,8.202,6.266,0.308,0.35200000000000004,0.19,0.26899999999999996,0.11199999999999999,mod,mod,-0.39387229628201137,0.5872588343303362,0.41274116566966396
10.265999999999998,10.196,8.693999999999999,9.596,11.809000000000001,0.049,0.06,0.065,0.027999999999999997,0.09300000000000001,mod,mod,-0.4314619944814515,0.5957418095978957,0.40425819040210437
11.995,12.975,16.578,13.17,10.949000000000002,0.064,0.07400000000000001,0.053,0.10800000000000001,0.124,mod,unm,2.145557072578357,0.11292464047727348,0.8870753595227264
5.751,6.306,5.212000000000001,5.122999999999999,6.474,0.175,0.132,0.203,0.297,0.26,mod,mod,-1.5696127254799057,0.8133164454794696,0.18668355452053037
10.32,8.522,8.384,6.905,7.83,0.027999999999999997,0.073,0.012,0.057999999999999996,0.013000000000000001,mod,mod,-0.5327907523437991,0.6181269534465444,0.38187304655345555
8.718,8.171,9.632,8.666,9.437999999999999,0.047,0.43200000000000005,0.019,0.45,0.013000000000000001,mod,mod,-0.1248607921416598,0.5245886113447983,0.4754113886552018
5.8420000000000005,5.227,5.559,5.809,5.502000000000001,0.223,0.079,0.11,0.243,0.145,mod,mod,-1.4561898921262602,0.7963920608644481,0.20360793913555184
9.849,7.492999999999999,7.879,14.355,13.702,0.011000000000000001,0.42100000000000004,0.07,0.053,0.033,mod,mod,-0.6978585602479646,0.6528872243948315,0.3471127756051686
8.495,9.173,11.01,9.881,8.888,0.08199999999999999,0.02,0.036000000000000004,0.465,0.18600000000000003,mod,unm,0.3255618734082484,0.4179219570955269,0.5820780429044731
12.632,7.857,7.752000000000001,7.723,7.6579999999999995,0.011000000000000001,0.008,0.09300000000000001,0.057999999999999996,0.038,mod,mod,-0.739370663424082,0.6612773776454153,0.3387226223545848
6.0889999999999995,8.629,8.55,7.6610000000000005,8.258,0.073,0.055,0.064,0.364,0.087,mod,mod,-0.4785308353807798,0.6062318330599401,0.39376816694005984
7.513,9.228,12.905,12.333,7.571000000000001,0.349,0.282,0.07200000000000001,0.094,0.11599999999999999,mod,unm,0.9449747408048106,0.2852727052768179,0.714727294723182
12.562000000000001,7.752000000000001,8.982000000000001,10.753,11.395,0.035,0.13,0.406,0.021,0.054000000000000006,mod,mod,-0.33732430832920013,0.5743388743123966,0.4256611256876032
7.195,10.072000000000001,10.904000000000002,11.189,8.427999999999999,0.19899999999999998,0.544,0.195,0.028999999999999998,0.552,mod,unm,0.29091397299720345,0.4260913576713064,0.5739086423286937
9.742,10.91,18.675,14.192,9.073,0.033,0.079,0.02,0.022000000000000002,0.016,mod,unm,2.83099707031272,0.06223035732261752,0.9377696426773825
7.936,7.854,7.9510000000000005,8.839,8.29,0.188,0.07400000000000001,0.006,0.016,0.026000000000000002,mod,mod,-0.6743241421086728,0.6480674412044448,0.35193255879555524
6.513,7.187,6.483,4.994,6.055,0.05,0.024,0.024,0.17600000000000002,0.035,mod,mod,-1.1541648266417885,0.7458910260608638,0.25410897393913606
10.669,9.434,9.777000000000001,15.085999999999999,12.285,0.031,0.024,0.16899999999999998,0.004,0.083,mod,mod,-0.07746508765362048,0.5133452044987827,0.48665479550121743
6.9910000000000005,7.263999999999999,8.684,6.382000000000001,7.106,0.078,0.038,0.062,0.09699999999999999,0.071,mod,mod,-0.4347306665444952,0.5964751602982307,0.40352483970176933
9.418,11.714,11.997,9.92,10.193,0.134,0.023,0.025,0.24,0.038,mod,unm,0.6481795495412266,0.34607352708677913,0.6539264729132208
7.372999999999999,8.65,5.223,5.773,6.205,0.033,0.042,0.183,0.26,0.113,mod,mod,-1.5660171920350399,0.8127969850134854,0.18720301498651462
7.2410000000000005,7.0760000000000005,6.031000000000001,7.811,8.162,0.267,0.205,0.363,0.10800000000000001,0.11,mod,mod,-1.3019086921145933,0.7715790561537929,0.22842094384620698
10.112,10.567,9.513,7.428999999999999,7.042999999999999,0.040999999999999995,0.037000000000000005,0.063,0.42200000000000004,0.179,mod,mod,-0.16375795463672116,0.5337930608368003,0.4662069391631997
10.267999999999999,8.357999999999999,9.149,7.803,7.249,0.055,0.14300000000000002,0.147,0.177,0.154,mod,mod,-0.28273753137852875,0.5617105812704684,0.43828941872953164
7.485,8.867,12.460999999999999,8.906,8.291,0.035,0.081,0.005,0.012,0.006999999999999999,mod,unm,0.7998458169242904,0.31421096166859813,0.685789038331402
11.344000000000001,12.520999999999999,15.437000000000001,10.534,9.118,0.294,0.625,0.649,0.023,0.02,mod,unm,1.7726018723006982,0.15368812643295499,0.8463118735670451
10.579,9.017000000000001,10.735,8.724,9.362,0.018000000000000002,0.18,0.006,0.08800000000000001,0.028999999999999998,mod,unm,0.23567345877523938,0.43912054218819824,0.5608794578118017
4.794,5.7989999999999995,6.527,6.727,5.935,0.135,0.033,0.203,0.284,0.5770000000000001,mod,mod,-1.1397826827186455,0.7432912641539873,0.2567087358460127
10.462,9.414,5.767,7.89,8.104,0.133,0.161,0.129,0.331,0.40299999999999997,mod,mod,-1.3882015673084132,0.7857123537859093,0.21428764621409047
11.644,7.106,6.917999999999999,6.784,6.808,0.129,0.09,0.102,0.053,0.348,mod,mod,-1.0119777020778562,0.7194358968210747,0.28056410317892516
9.259,10.600999999999999,9.227,4.794,5.7989999999999995,0.23800000000000002,0.045,0.11599999999999999,0.135,0.033,mod,mod,-0.25724190858279794,0.5557677769264538,0.4442322230735462
11.222000000000001,9.81,10.614,20.14,17.223,0.022000000000000002,0.01,0.1,0.009000000000000001,0.006999999999999999,mod,unm,0.19612255322505323,0.44845849080689404,0.551541509193106
7.564,7.484,6.553999999999999,6.029,7.255,0.121,0.38799999999999996,0.22,0.052000000000000005,0.185,mod,mod,-1.130957276012551,0.7416873607911375,0.2583126392088626
4.436,4.706,5.888999999999999,6.803,7.396,0.059000000000000004,0.03,0.20800000000000002,0.031,0.05,mod,mod,-1.3483237993102355,0.7792613662037925,0.22073863379620773
16.947,25.206999999999997,22.943,12.71,8.52,0.075,0.006999999999999999,0.013000000000000001,0.12300000000000001,0.183,mod,unm,4.226065219914887,0.01733691126751882,0.9826630887324812
7.007000000000001,12.602,18.567,13.587,12.154000000000002,0.317,0.013999999999999999,0.005,0.142,0.1,mod,unm,2.795695444993357,0.06421522575925084,0.9357847742407494
6.746,8.256,7.961,7.24,7.004,0.098,0.087,0.06,0.19899999999999998,0.313,mod,mod,-0.6710554704643092,0.647394406505941,0.3526055934940589
7.081,8.305,7.359,9.797,13.01,0.249,0.13,0.19399999999999998,0.018000000000000002,0.021,mod,mod,-0.8678293763715024,0.6909682310399861,0.30903176896001416
8.587,7.445,6.912999999999999,5.792000000000001,6.579,0.048,0.265,0.18899999999999997,0.077,0.035,mod,mod,-1.0136120358076672,0.71974935275651,0.28025064724348975
7.609,10.262,11.144,11.642999999999999,12.325999999999999,0.1,0.013000000000000001,0.03,0.645,0.115,mod,unm,0.3693620428759923,0.4075905202558513,0.5924094797441487
7.819,6.438,7.195,10.072000000000001,10.904000000000002,0.051,0.063,0.19899999999999998,0.544,0.195,mod,mod,-0.9214355566499952,0.7017412533310312,0.2982587466689688
7.307,8.115,10.517000000000001,12.155999999999999,8.514,0.19,0.02,0.043,0.098,0.07200000000000001,mod,unm,0.1644164648708264,0.4559524845170738,0.5440475154829263
6.2379999999999995,6.171,8.424,9.81,5.733,0.261,0.16899999999999998,0.063,0.08,0.094,mod,mod,-0.5197160698860435,0.6152808225968172,0.3847191774031829
9.982000000000001,10.729000000000001,10.165,10.632,7.843999999999999,0.027999999999999997,0.045,0.068,0.064,0.174,mod,unm,0.04935929582583842,0.48321706579212786,0.5167829342078721
9.612,9.86,8.737,6.345,7.327000000000001,0.008,0.087,0.047,0.287,0.21,mod,mod,-0.41740671316666944,0.5925804308146244,0.40741956918537564
6.54,6.683,9.485,10.887,7.6339999999999995,0.13699999999999998,0.091,0.15,0.032,0.066,mod,mod,-0.17291023261986904,0.5359546762925607,0.4640453237074396
12.005,16.49,15.635,17.753,16.007,0.023,0.016,0.07400000000000001,0.022000000000000002,0.009000000000000001,mod,unm,1.8373215356573676,0.14583755620367794,0.8541624437963221
6.294,6.4239999999999995,7.572,8.448,13.999,0.122,0.113,0.033,0.23199999999999998,0.10800000000000001,mod,mod,-0.7982067174234393,0.6766616797437025,0.3233383202562975
6.775,7.479,9.369,12.607999999999999,10.795,0.22899999999999998,0.495,0.22399999999999998,0.086,0.055,mod,mod,-0.21082680104942053,0.5448887237912743,0.4551112762087255
5.971,6.218,5.662000000000001,7.58,6.103,0.126,0.021,0.023,0.006,0.031,mod,mod,-1.422522597901021,0.7911537700767962,0.20884622992320362
5.83,9.183,6.89,5.519,8.122,0.5589999999999999,0.013000000000000001,0.129,0.09300000000000001,0.038,mod,mod,-1.0211299791151722,0.7211884936020992,0.2788115063979008
10.999,7.693,8.72,13.058,11.96,0.212,0.446,0.31,0.05,0.095,mod,mod,-0.42296344951820597,0.5938318112819332,0.4061681887180667
7.843999999999999,7.297000000000001,7.6739999999999995,11.405,8.222000000000001,0.043,0.22399999999999998,0.462,0.035,0.13,mod,mod,-0.7648662865831275,0.6663602750555676,0.33363972494443234
12.982000000000001,12.274000000000001,9.464,11.784,10.753,0.062,0.023,0.198,0.04,0.024,mod,mod,-0.179774437835305,0.5375746805048796,0.4624253194951206
8.677999999999999,6.233,7.558,6.834,10.135,0.019,0.198,0.009000000000000001,0.05,0.081,mod,mod,-0.8027828517250972,0.6776126203765256,0.32238737962347425
14.126,13.782,11.247,20.01,15.175,0.128,0.040999999999999995,0.055999999999999994,0.013999999999999999,0.015,mod,unm,0.4030293404990468,0.3996409436976373,0.6003590563023626
7.653,9.612,9.424,12.86,19.205,0.12,0.14800000000000002,0.311,0.069,0.044000000000000004,mod,mod,-0.1928491191478221,0.5406573213056665,0.45934267869433343
12.345999999999998,12.255,5.965,7.86,6.505,0.046,0.047,0.127,0.094,0.36700000000000005,mod,mod,-1.3234819087328864,0.775172928486165,0.2248270715138348
8.427,8.922,7.2410000000000005,7.0760000000000005,6.031000000000001,0.131,0.168,0.267,0.205,0.363,mod,mod,-0.9063996780915451,0.6987413617812063,0.3012586382187938
14.629000000000001,8.149,9.079,11.095999999999998,13.593,0.0,0.052000000000000005,0.017,0.017,0.009000000000000001,mod,mod,-0.3056182205890954,0.5670207558941747,0.4329792441058253
6.973,6.871,6.521,6.8,10.252,0.37799999999999995,0.391,0.4,0.278,0.07,mod,mod,-1.1417438840943523,0.7436468003997458,0.25635319960025443
7.851,11.654000000000002,13.66,14.38,14.196,0.003,0.001,0.006999999999999999,0.002,0.025,mod,unm,1.1917592976286082,0.23992977196666812,0.7600702280333318
8.867,12.460999999999999,8.906,8.291,10.79,0.081,0.005,0.012,0.006999999999999999,0.002,mod,mod,-0.3621662017663416,0.5800367524174467,0.4199632475825532
6.8229999999999995,6.2139999999999995,8.272,8.988,9.927999999999999,0.10400000000000001,0.196,0.14800000000000002,0.09300000000000001,0.043,mod,mod,-0.5693998463761849,0.6260256935742927,0.37397430642570734
9.003,11.481,12.024000000000001,13.793,13.034,0.154,0.057,0.059000000000000004,0.086,0.018000000000000002,mod,unm,0.6570049618316895,0.34417756445391456,0.6558224355460853
9.038,10.627,11.593,7.086,10.475999999999999,0.315,0.147,0.38799999999999996,0.203,0.131,mod,unm,0.5161253050032721,0.37282479440153093,0.6271752055984692
7.4479999999999995,8.113,6.907,7.641,6.7010000000000005,0.01,0.022000000000000002,0.065,0.086,0.006999999999999999,mod,mod,-1.0155732392063461,0.7201252180218192,0.2798747819781808
15.782,17.939,13.448,6.29,7.155,0.021,0.03,0.19,0.38299999999999995,0.247,mod,unm,1.1224635081097185,0.25214977721105025,0.7478502227889496
8.115,8.1,9.314,12.684000000000001,16.154,0.307,0.163,0.332,0.1,0.046,mod,mod,-0.22880448037676526,0.5491108076308583,0.4508891923691417
8.737,6.345,7.327000000000001,5.957999999999999,8.543,0.047,0.287,0.21,0.057999999999999996,0.013999999999999999,mod,mod,-0.878289119489053,0.6930871528370817,0.30691284716291856
8.287,7.44,12.084000000000001,12.720999999999998,8.517999999999999,0.39799999999999996,0.248,0.025,0.013999999999999999,0.1,mod,unm,0.6766169786897942,0.3399821068066104,0.6600178931933899
10.22,16.319000000000003,19.087,14.645999999999999,12.312999999999999,0.11599999999999999,0.012,0.018000000000000002,0.051,0.008,mod,unm,2.9656662616104947,0.05517407199086188,0.944825928009138
6.87,9.281,11.735999999999999,17.994,14.514000000000001,0.23399999999999999,0.193,0.08199999999999999,0.03,0.068,mod,unm,0.5628672801114485,0.36166543326763434,0.6383345667323657
